Date_reported,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
6/7/2020,Egypt,1497,32612,32,1198
6/8/2020,Egypt,1467,34079,39,1237
6/9/2020,Egypt,1365,35444,34,1271
6/10/2020,Egypt,1385,36829,35,1306
6/11/2020,Egypt,1455,38284,36,1342
6/12/2020,Egypt,1442,39726,35,1377
6/13/2020,Egypt,1577,41303,45,1422
6/14/2020,Egypt,1677,42980,62,1484
6/15/2020,Egypt,1618,44598,91,1575
6/16/2020,Egypt,1691,46289,97,1672
6/17/2020,Egypt,1567,47856,94,1766
6/18/2020,Egypt,1363,49219,84,1850
6/19/2020,Egypt,1218,50437,88,1938
6/20/2020,Egypt,1774,52211,79,2017
6/21/2020,Egypt,1547,53758,89,2106
6/22/2020,Egypt,1475,55233,87,2193
6/23/2020,Egypt,1576,56809,85,2278
6/24/2020,Egypt,1332,58141,87,2365
6/25/2020,Egypt,1420,59561,85,2450
6/26/2020,Egypt,1569,61130,83,2533
6/27/2020,Egypt,1625,62755,87,2620
6/28/2020,Egypt,1168,63923,88,2708
6/29/2020,Egypt,1265,65188,81,2789
6/30/2020,Egypt,1566,66754,83,2872
7/1/2020,Egypt,1557,68311,81,2953
7/2/2020,Egypt,1503,69814,81,3034
7/3/2020,Egypt,1485,71299,86,3120
7/4/2020,Egypt,1412,72711,81,3201
7/5/2020,Egypt,1324,74035,79,3280
7/6/2020,Egypt,1218,75253,63,3343
7/7/2020,Egypt,969,76222,79,3422
7/8/2020,Egypt,1057,77279,67,3489
7/9/2020,Egypt,1025,78304,75,3564
7/10/2020,Egypt,950,79254,53,3617
7/11/2020,Egypt,981,80235,85,3702
7/12/2020,Egypt,923,81158,67,3769
7/13/2020,Egypt,912,82070,89,3858
7/14/2020,Egypt,931,83001,77,3935
7/15/2020,Egypt,929,83930,73,4008
7/16/2020,Egypt,913,84843,59,4067
7/17/2020,Egypt,928,85771,53,4120
7/18/2020,Egypt,703,86474,68,4188
7/19/2020,Egypt,698,87172,63,4251
7/20/2020,Egypt,603,87775,51,4302
